portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
32220,Aberdeen,31870,SCOTLAND EAST COAST,GB,United Kingdom,"57°09'00""N","2°05'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35013,I,M,RB,G,Y,N,N,U,Y,5,9,9,6,4,,,,Y,U,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,U,Y,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{7B45E904-B29C-4DD8-9C4B-702D4904E1D5},U,U,U,U,U,U,U,U,U,U,U,U,GB ABD,"a2032220, coa20f, gen20b, h2032220",,,,North Sea; North Atlantic Ocean,,,,,,,
33690,Ardglass,33630,NORTHERN IRELAND,GB,United Kingdom,"54°16'00""N","5°37'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36006,I,V,CN,P,Y,N,N,N,N,5,11,2,,4,,,,Y,N,N,N,N,,,U,N,N,U,Y,U,U,Y,U,U,U,U,U,U,U,U,U,Y,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,U,U,Y,Y,D,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{330CF83B-D2DF-4F68-81B6-1580FDA19A65},U,U,U,U,U,U,U,U,U,U,U,U,GB AGL,"coa20i, gen20b",,,,Irish Sea; North Atlantic Ocean,,,,,,,
33340,Ardrishaig,32790,SCOTLAND WEST COAST,GB,United Kingdom,"56°01'00""N","5°27'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,"35109, 36017",I,V,CN,F,N,N,N,Y,Y,6,6,2,,2,,,,Y,Y,Y,N,N,,,U,N,N,U,Y,Y,U,Y,U,U,U,Y,U,U,U,U,Y,Y,U,N,U,U,U,U,U,U,U,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,B,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{7C97DE7B-2D1B-4DA7-A55A-0D0431724456},U,U,U,U,U,U,U,U,U,U,U,U,GB ASG,"a2033490, coa20i, gen20b",,,,North Atlantic Ocean,,,,,,,
33530,Ardrossan,32790,SCOTLAND WEST COAST,GB,United Kingdom,"55°39'00""N","4°49'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,36024,I,S,CB,F,N,N,N,Y,U,5,22,5,,3,,,,U,Y,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,U,U,Y,Y,U,U,U,U,Y,Y,Y,U,U,U,U,Y,Y,Y,Y,U,U,C,S,S,Y,U,UNK,U,U,Y,U,U,U,U,{316BDC9C-B473-4DB3-87A6-169CB764B070},U,U,U,U,U,U,U,U,U,U,U,U,GB ARD,"a2033490, coa20i, gen20b",,,,North Atlantic Ocean,,,,,,,
32830,Aultbea,32790,SCOTLAND WEST COAST,GB,United Kingdom,"57°50'00""N","5°35'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35091,I,V,OR,P,Y,N,N,Y,U,9,13,3,,11,,,,U,U,N,N,U,,,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,N,U,U,U,U,U,U,U,U,U,U,Y,Y,U,U,U,U,D,U,U,U,U,UNK,U,U,N,U,U,U,U,{44C6004F-507B-4451-AF85-B01E48C0E5E6},U,U,U,U,U,U,U,U,U,U,U,U,GB AUL,"a2032830, coa20i, gen20b, h2032830",,,,North Atlantic Ocean,,,,,,,
35060,Avonmouth,35030,ENGLAND SW COAST,GB,United Kingdom,"51°30'00""N","2°43'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36042,I,S,RT,E,Y,N,N,Y,Y,6,9,8,9,9,,,,Y,Y,Y,U,Y,,,Y,U,Y,U,Y,U,U,Y,U,U,Y,Y,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,U,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,A,L,S,Y,U,UNK,U,U,Y,U,U,U,U,{7C07B958-E90E-4784-AC46-24C214D02024},U,U,U,U,U,U,U,U,U,U,U,U,GB AVO,"a2035070, gen20b, h2035070",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
33560,Ayr,32790,SCOTLAND WEST COAST,GB,United Kingdom,"55°28'00""N","4°38'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,36016,I,V,RB,G,N,Y,N,Y,Y,3,6,5,5,2,,,,U,U,Y,N,Y,,,Y,U,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,Y,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,Y,Y,B,U,L,Y,U,UNK,U,U,Y,U,U,U,U,{DA33C780-7685-4567-8B55-FBCBEB355262},U,U,U,U,U,U,U,U,U,U,U,U,GB AYR,"a2033490, coa20i, gen20b",,,,North Atlantic Ocean,,,,,,,
33577,Bangor,32790,SCOTLAND WEST COAST,GB,United Kingdom,"54°39'00""N","5°40'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36011,I,V,RB,F,Y,N,N,Y,N,5,8,2,,3,,,,Y,U,N,N,N,,,N,N,N,U,U,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,U,Y,N,U,U,U,U,Y,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,N,U,U,U,U,{A51285B1-B756-408E-A083-271AB2D75ED5},U,U,U,U,U,U,U,U,U,U,U,U,GB BAN,"a2033770, coa20i, gen20b, h2033770",,,,North Atlantic Ocean,,,,,,,
34630,Barrow In Furness,34580,ENGLAND WEST COAST,GB,United Kingdom,"54°07'00""N","3°14'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36025,I,M,CT,G,Y,N,N,Y,Y,9,9,6,6,6,,,,U,U,Y,N,Y,,,Y,U,Y,U,U,Y,U,Y,U,Y,Y,Y,Y,U,U,U,Y,Y,U,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,A,M,S,Y,U,UNK,U,U,Y,U,U,U,U,{615494E1-D69D-45CD-A4A2-D71846A05B4B},U,U,U,U,U,U,U,U,U,U,U,U,GB BIF,"coa20i, gen20b",,,,Irish Sea; North Atlantic Ocean,,,,,,,
34990,Barry,34710,WALES,GB,United Kingdom,"51°24'00""N","3°16'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,35127,I,M,CT,E,N,N,N,Y,Y,2,9,8,8,10,,,,U,U,N,Y,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,U,Y,Y,U,Y,Y,Y,Y,Y,A,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{C5E4F970-1CD1-42B6-854E-00B64DD441CF},U,U,U,U,U,U,U,U,U,U,U,U,GB BAD,"a2035070, coa20j, gen20b, h2035010",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
